SecuCode,Cur_TradingDay,updatetime,Ltg,preLtg,pre_cp,net0
sz301349,20230811,20230810,1.02,1.02,61.26,807.54588183
sz301357,20230811,20230810,0.68,0.68,56.08,807.54588183
sz301358,20230811,20230810,7.5725307,7.5725307,44,807.54588183
sz301361,20230811,20230810,1.16336,1.16336,26.04,807.54588183
sz301365,20230811,20230810,1.8,1.8,17.63,807.54588183
sz301366,20230811,20230810,1.50000001,1.50000001,36.85,807.54588183
sz301368,20230811,20230810,1.201,1.201,44.88,807.54588183
sz301369,20230811,20230810,0.69600268,0.69600268,73.33,807.54588183
sz301373,20230811,20230810,1.08472091,1.08472091,35.06,807.54588183
sz301377,20230811,20230810,4.1,4.1,20.67,807.54588183
sz301378,20230811,20230810,0.69,0.69,62.56,807.54588183
sz301379,20230811,20230810,1.0134,1.0134,34,807.54588183
sz301380,20230811,20230810,0.68,0.68,49.52,807.54588183
sz301386,20230811,20230810,1.4,1.4,30.21,807.54588183
sz301387,20230811,20230810,0.76,0.76,50.13,807.54588183
sz301388,20230811,20230810,1.024476,1.024476,27.54,807.54588183
sz301396,20230811,20230810,1.09655391,1.09655391,35.65,807.54588183
sz301398,20230811,20230810,0.8,0.8,69.54,807.54588183
sz301408,20230811,20230810,4.0001,4.0001,18.62,807.54588183
sz301419,20230811,20230810,1,1,39.63,807.54588183
sz301429,20230811,20230810,1.1822,1.1822,26.89,807.54588183
sz301439,20230811,20230810,3.89101809,3.89101809,18.43,807.54588183
