SecuCode,Cur_TradingDay,updatetime,Ltg,preLtg,pre_cp,net0
sz002163,20230814,20230811,8.44957867,8.44957867,10.07,788.67377025
sz002176,20230814,20230811,17.06325581,17.06325581,10.98,788.67377025
sz002184,20230814,20230811,3.5190837,3.5190837,14.15,788.67377025
sz002186,20230814,20230811,3.08463955,3.08463955,13.05,788.67377025
sz002189,20230814,20230811,2.61726953,2.61726953,15.51,788.67377025
sz002190,20230814,20230811,3.58729343,3.58729343,21.61,788.67377025
sz002192,20230814,20230811,2.59655203,2.59655203,58.6,788.67377025
sz002197,20230814,20230811,6.14362928,6.14362928,10.2,788.67377025
sz002205,20230814,20230811,1.85843228,1.85843228,10.65,788.67377025
sz002213,20230814,20230811,2.36,2.36,14.04,788.67377025
sz002222,20230814,20230811,4.275,4.275,24.72,788.67377025
sz002229,20230814,20230811,4.98344263,4.98344263,33.95,788.67377025
sz002232,20230814,20230811,4.08548455,4.08548455,14.93,788.67377025
sz002234,20230814,20230811,3.48960212,3.48960212,17.95,788.67377025
sz002240,20230814,20230811,9.21785872,9.21785872,26.43,788.67377025
sz002241,20230814,20230811,34.204032,34.204032,17.3,788.67377025
sz002242,20230814,20230811,7.67017,7.67017,14.98,788.67377025
sz002245,20230814,20230811,11.52046537,11.52046537,10.54,788.67377025
sz002253,20230814,20230811,2.25626095,2.25626095,13.51,788.67377025
sz002261,20230814,20230811,12.53855174,12.53855174,15.63,788.67377025
sz002265,20230814,20230811,10.33040407,10.33040407,13.08,788.67377025
sz002268,20230814,20230811,8.45876603,8.45876603,26.59,788.67377025
sz002270,20230814,20230811,8.96225431,8.96225431,11.82,788.67377025
sz002271,20230814,20230811,25.18464191,25.18464191,28.83,788.67377025
sz002275,20230814,20230811,5.875686,5.875686,15.49,788.67377025
sz002281,20230814,20230811,7.95011952,7.95011952,29.27,788.67377025
sz002291,20230814,20230811,9.30658687,9.30658687,11.53,788.67377025
sz002294,20230814,20230811,11.14816535,11.14816535,27.46,788.67377025
sz002304,20230814,20230811,15.06988,15.06988,138.8,788.67377025
sz002315,20230814,20230811,3.11297197,3.11297197,31.81,788.67377025
sz002317,20230814,20230811,8.53350477,8.53350477,17.21,788.67377025
